LINK,NAME,LIKES,DISLIKES,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/basic-calculator-iv,Basic calculator iv,50,469,Hard,3028,6493,0.47
https://leetcode.com/problems/jewels-and-stones,Jewels and stones,1741,317,Easy,370277,439198,0.84
https://leetcode.com/problems/sliding-puzzle,Sliding puzzle,467,16,Hard,25241,44985,0.56
https://leetcode.com/problems/global-and-local-inversions,Global and local inversions,256,136,Medium,16253,40049,0.41
https://leetcode.com/problems/swap-adjacent-in-lr-string,Swap adjacent in lr string,282,256,Medium,19756,57467,0.34
https://leetcode.com/problems/swim-in-rising-water,Swim in rising water,416,35,Hard,17485,34917,0.5
https://leetcode.com/problems/k-th-symbol-in-grammar,K th symbol in grammar,303,101,Medium,22268,59657,0.37
https://leetcode.com/problems/reaching-points,Reaching points,344,75,Hard,14243,49593,0.29
https://leetcode.com/problems/rabbits-in-forest,Rabbits in forest,202,243,Medium,16696,31490,0.53
https://leetcode.com/problems/transform-to-chessboard,Transform to chessboard,103,109,Hard,3838,9430,0.41
https://leetcode.com/problems/minimum-distance-between-bst-nodes,Minimum distance between bst nodes,489,147,Easy,47303,92358,0.51
https://leetcode.com/problems/letter-case-permutation,Letter case permutation,876,95,Easy,67901,111387,0.61
https://leetcode.com/problems/is-graph-bipartite,Is graph bipartite,934,124,Medium,75087,164493,0.46
https://leetcode.com/problems/k-th-smallest-prime-fraction,K th smallest prime fraction,288,17,Hard,10717,25810,0.42
https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest flights within k stops,1135,41,Medium,62880,170005,0.37
https://leetcode.com/problems/rotated-digits,Rotated digits,265,890,Easy,39428,70231,0.56
https://leetcode.com/problems/escape-the-ghosts,Escape the ghosts,152,298,Medium,12533,22256,0.56
https://leetcode.com/problems/domino-and-tromino-tiling,Domino and tromino tiling,311,163,Medium,11263,29938,0.38
https://leetcode.com/problems/custom-sort-string,Custom sort string,537,157,Medium,48729,76057,0.64
https://leetcode.com/problems/number-of-matching-subsequences,Number of matching subsequences,652,47,Medium,30400,65843,0.46
https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function,Preimage size of factorial zeroes function,134,51,Hard,6833,17196,0.4
https://leetcode.com/problems/valid-tic-tac-toe-state,Valid tic tac toe state,150,477,Medium,19688,61768,0.32
https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,Number of subarrays with bounded maximum,430,38,Medium,14841,33073,0.45
https://leetcode.com/problems/rotate-string,Rotate string,518,41,Easy,53656,108624,0.49
https://leetcode.com/problems/all-paths-from-source-to-target,All paths from source to target,558,47,Medium,41754,57349,0.73
https://leetcode.com/problems/smallest-rotation-with-highest-score,Smallest rotation with highest score,195,15,Hard,5245,12359,0.42
https://leetcode.com/problems/champagne-tower,Champagne tower,342,22,Medium,12207,34959,0.35
https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,Minimum swaps to make sequences increasing,740,51,Medium,22167,59119,0.37
https://leetcode.com/problems/find-eventual-safe-states,Find eventual safe states,517,85,Medium,27410,58782,0.47
https://leetcode.com/problems/bricks-falling-when-hit,Bricks falling when hit,357,113,Hard,12812,43077,0.3
https://leetcode.com/problems/unique-morse-code-words,Unique morse code words,536,513,Easy,120440,158971,0.76
https://leetcode.com/problems/split-array-with-same-average,Split array with same average,295,64,Hard,12364,48070,0.26
https://leetcode.com/problems/number-of-lines-to-write-string,Number of lines to write string,195,752,Easy,33267,52063,0.64
https://leetcode.com/problems/max-increase-to-keep-city-skyline,Max increase to keep city skyline,695,192,Medium,70387,85184,0.83
https://leetcode.com/problems/soup-servings,Soup servings,122,423,Medium,7905,20451,0.39
https://leetcode.com/problems/expressive-words,Expressive words,170,537,Medium,25592,55546,0.46
https://leetcode.com/problems/chalkboard-xor-game,Chalkboard xor game,50,162,Hard,3329,7238,0.46
https://leetcode.com/problems/subdomain-visit-count,Subdomain visit count,361,527,Easy,65773,97683,0.67
https://leetcode.com/problems/largest-triangle-area,Largest triangle area,143,850,Easy,18398,32130,0.57
https://leetcode.com/problems/largest-sum-of-averages,Largest sum of averages,685,27,Medium,18403,38475,0.48
https://leetcode.com/problems/binary-tree-pruning,Binary tree pruning,758,29,Medium,49672,68346,0.73
https://leetcode.com/problems/bus-routes,Bus routes,565,20,Hard,29264,70423,0.42
https://leetcode.com/problems/ambiguous-coordinates,Ambiguous coordinates,94,188,Medium,8300,18069,0.46
https://leetcode.com/problems/linked-list-components,Linked list components,276,725,Medium,33869,60222,0.56
https://leetcode.com/problems/race-car,Race car,380,46,Hard,14925,39930,0.37
https://leetcode.com/problems/most-common-word,Most common word,454,1149,Easy,105229,242157,0.43
https://leetcode.com/problems/short-encoding-of-words,Short encoding of words,194,51,Medium,11037,22476,0.49
https://leetcode.com/problems/shortest-distance-to-a-character,Shortest distance to a character,791,65,Easy,50965,78185,0.65
https://leetcode.com/problems/card-flipping-game,Card flipping game,63,398,Medium,7684,18335,0.42
https://leetcode.com/problems/binary-trees-with-factors,Binary trees with factors,235,31,Medium,9459,27445,0.34
https://leetcode.com/problems/goat-latin,Goat latin,204,515,Easy,47100,78074,0.6
https://leetcode.com/problems/friends-of-appropriate-ages,Friends of appropriate ages,240,506,Medium,26534,65251,0.41
https://leetcode.com/problems/most-profit-assigning-work,Most profit assigning work,281,47,Medium,15483,41363,0.37
https://leetcode.com/problems/making-a-large-island,Making a large island,334,12,Hard,12854,29027,0.44
https://leetcode.com/problems/unique-letter-string,Unique letter string,293,32,Hard,7566,17683,0.43
https://leetcode.com/problems/consecutive-numbers-sum,Consecutive numbers sum,231,339,Hard,16903,47270,0.36
https://leetcode.com/problems/positions-of-large-groups,Positions of large groups,258,70,Easy,34902,71941,0.49
https://leetcode.com/problems/masking-personal-information,Masking personal information,59,256,Medium,8463,19685,0.43
https://leetcode.com/problems/flipping-an-image,Flipping an image,670,137,Easy,141102,189837,0.74
https://leetcode.com/problems/find-and-replace-in-string,Find and replace in string,230,305,Medium,28449,58525,0.49
https://leetcode.com/problems/sum-of-distances-in-tree,Sum of distances in tree,591,28,Hard,10956,26066,0.42
https://leetcode.com/problems/image-overlap,Image overlap,245,337,Medium,14978,27073,0.55
https://leetcode.com/problems/rectangle-overlap,Rectangle overlap,485,93,Easy,37714,78308,0.48
https://leetcode.com/problems/new-21-game,New 21 game,454,250,Medium,13913,41399,0.34
https://leetcode.com/problems/push-dominoes,Push dominoes,405,47,Medium,16327,35159,0.46
https://leetcode.com/problems/similar-string-groups,Similar string groups,231,81,Hard,14167,38723,0.37
https://leetcode.com/problems/magic-squares-in-grid,Magic squares in grid,97,897,Easy,17977,49177,0.37
https://leetcode.com/problems/keys-and-rooms,Keys and rooms,661,57,Medium,54114,86826,0.62
https://leetcode.com/problems/split-array-into-fibonacci-sequence,Split array into fibonacci sequence,341,119,Medium,15043,42378,0.35
https://leetcode.com/problems/guess-the-word,Guess the word,402,426,Hard,33957,74716,0.45
https://leetcode.com/problems/backspace-string-compare,Backspace string compare,956,56,Easy,92705,197140,0.47
https://leetcode.com/problems/longest-mountain-in-array,Longest mountain in array,432,16,Medium,24866,69833,0.36
https://leetcode.com/problems/hand-of-straights,Hand of straights,390,55,Medium,27395,53566,0.51
https://leetcode.com/problems/shortest-path-visiting-all-nodes,Shortest path visiting all nodes,433,46,Hard,12167,24385,0.5
https://leetcode.com/problems/shifting-letters,Shifting letters,209,44,Medium,18301,42428,0.43
https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize distance to closest person,578,87,Easy,48088,114612,0.42
https://leetcode.com/problems/rectangle-area-ii,Rectangle area ii,244,27,Hard,9269,20104,0.46
https://leetcode.com/problems/loud-and-rich,Loud and rich,210,243,Medium,10478,21002,0.5
https://leetcode.com/problems/peak-index-in-a-mountain-array,Peak index in a mountain array,424,915,Easy,118729,167984,0.71
https://leetcode.com/problems/car-fleet,Car fleet,337,174,Medium,21942,52722,0.42
https://leetcode.com/problems/k-similar-strings,K similar strings,267,29,Hard,12547,33878,0.37
https://leetcode.com/problems/exam-room,Exam room,454,187,Medium,22782,55647,0.41
https://leetcode.com/problems/score-of-parentheses,Score of parentheses,773,28,Medium,27667,47260,0.59
https://leetcode.com/problems/minimum-cost-to-hire-k-workers,Minimum cost to hire k workers,691,69,Hard,23688,48482,0.49
https://leetcode.com/problems/mirror-reflection,Mirror reflection,154,253,Medium,8051,15227,0.53
https://leetcode.com/problems/buddy-strings,Buddy strings,402,259,Easy,35323,127145,0.28
https://leetcode.com/problems/lemonade-change,Lemonade change,414,65,Easy,39910,78255,0.51
https://leetcode.com/problems/score-after-flipping-matrix,Score after flipping matrix,352,91,Medium,16980,23861,0.71
https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Shortest subarray with sum at least k,702,19,Hard,19910,86757,0.23
https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All nodes distance k in binary tree,1316,30,Medium,48082,92390,0.52
https://leetcode.com/problems/shortest-path-to-get-all-keys,Shortest path to get all keys,281,8,Hard,7409,19025,0.39
https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes,Smallest subtree with all the deepest nodes,513,159,Medium,28206,47895,0.59
https://leetcode.com/problems/prime-palindrome,Prime palindrome,145,414,Medium,13840,59607,0.23
https://leetcode.com/problems/transpose-matrix,Transpose matrix,289,263,Easy,61702,96912,0.64
https://leetcode.com/problems/binary-gap,Binary gap,170,412,Easy,30811,51207,0.6
https://leetcode.com/problems/reordered-power-of-2,Reordered power of 2,163,76,Medium,11957,23065,0.52
https://leetcode.com/problems/advantage-shuffle,Advantage shuffle,355,23,Medium,15538,35225,0.44
https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum number of refueling stops,501,9,Hard,12254,39876,0.31
https://leetcode.com/problems/leaf-similar-trees,Leaf similar trees,532,27,Easy,65754,101792,0.65
https://leetcode.com/problems/length-of-longest-fibonacci-subsequence,Length of longest fibonacci subsequence,534,23,Medium,22481,47309,0.48
https://leetcode.com/problems/walking-robot-simulation,Walking robot simulation,108,603,Easy,14175,41782,0.34
https://leetcode.com/problems/koko-eating-bananas,Koko eating bananas,456,50,Medium,24496,49997,0.49
https://leetcode.com/problems/middle-of-the-linked-list,Middle of the linked list,765,47,Easy,101913,154772,0.66
https://leetcode.com/problems/stone-game,Stone game,459,773,Medium,41632,66246,0.63
https://leetcode.com/problems/nth-magical-number,Nth magical number,150,47,Hard,7345,26706,0.28
https://leetcode.com/problems/profitable-schemes,Profitable schemes,187,23,Hard,7566,19883,0.38
https://leetcode.com/problems/decoded-string-at-index,Decoded string at index,334,69,Medium,10086,42450,0.24
https://leetcode.com/problems/boats-to-save-people,Boats to save people,371,27,Medium,22372,49500,0.45
https://leetcode.com/problems/reachable-nodes-in-subdivided-graph,Reachable nodes in subdivided graph,125,111,Hard,4444,11282,0.39
https://leetcode.com/problems/projection-area-of-3d-shapes,Projection area of 3d shapes,195,667,Easy,24451,36634,0.67
https://leetcode.com/problems/uncommon-words-from-two-sentences,Uncommon words from two sentences,308,72,Easy,43304,70181,0.62
https://leetcode.com/problems/spiral-matrix-iii,Spiral matrix iii,154,219,Medium,14888,22138,0.67
https://leetcode.com/problems/possible-bipartition,Possible bipartition,377,16,Medium,17750,42344,0.42
https://leetcode.com/problems/super-egg-drop,Super egg drop,545,58,Hard,11810,45486,0.26
https://leetcode.com/problems/fair-candy-swap,Fair candy swap,404,100,Easy,38640,67721,0.57
https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,Construct binary tree from preorder and postorder traversal,581,38,Medium,26524,41530,0.64
https://leetcode.com/problems/find-and-replace-pattern,Find and replace pattern,516,55,Medium,41487,57221,0.73
https://leetcode.com/problems/sum-of-subsequence-widths,Sum of subsequence widths,166,88,Hard,6691,21768,0.31
https://leetcode.com/problems/surface-area-of-3d-shapes,Surface area of 3d shapes,193,250,Easy,14942,25989,0.57
https://leetcode.com/problems/groups-of-special-equivalent-strings,Groups of special equivalent strings,195,906,Easy,20908,32406,0.65
https://leetcode.com/problems/all-possible-full-binary-trees,All possible full binary trees,618,62,Medium,27267,37617,0.72
https://leetcode.com/problems/maximum-frequency-stack,Maximum frequency stack,693,12,Hard,23559,39749,0.59
https://leetcode.com/problems/monotonic-array,Monotonic array,421,31,Easy,73429,129632,0.57
https://leetcode.com/problems/increasing-order-search-tree,Increasing order search tree,438,404,Easy,49704,74371,0.67
https://leetcode.com/problems/bitwise-ors-of-subarrays,Bitwise ors of subarrays,333,65,Medium,11351,31346,0.36
https://leetcode.com/problems/orderly-queue,Orderly queue,139,167,Hard,5872,11765,0.5
https://leetcode.com/problems/rle-iterator,Rle iterator,168,65,Medium,18356,35156,0.52
https://leetcode.com/problems/online-stock-span,Online stock span,322,59,Medium,16073,30588,0.53
https://leetcode.com/problems/numbers-at-most-n-given-digit-set,Numbers at most n given digit set,132,30,Hard,5911,19600,0.3
https://leetcode.com/problems/valid-permutations-for-di-sequence,Valid permutations for di sequence,219,27,Hard,4383,9260,0.47
https://leetcode.com/problems/fruit-into-baskets,Fruit into baskets,612,954,Medium,75696,180237,0.42
https://leetcode.com/problems/sort-array-by-parity,Sort array by parity,666,67,Easy,150872,205637,0.73
https://leetcode.com/problems/super-palindromes,Super palindromes,64,146,Hard,4491,14182,0.32
https://leetcode.com/problems/sum-of-subarray-minimums,Sum of subarray minimums,755,55,Medium,17796,58982,0.3
https://leetcode.com/problems/smallest-range-i,Smallest range i,163,851,Easy,32684,50185,0.65
https://leetcode.com/problems/snakes-and-ladders,Snakes and ladders,228,593,Medium,20693,56322,0.37
https://leetcode.com/problems/smallest-range-ii,Smallest range ii,247,140,Medium,8557,33497,0.26
https://leetcode.com/problems/online-election,Online election,253,199,Medium,18112,37031,0.49
https://leetcode.com/problems/sort-an-array,Sort an array,222,169,Medium,42636,67997,0.63
https://leetcode.com/problems/cat-and-mouse,Cat and mouse,253,54,Hard,6131,20390,0.3
https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards,X of a kind in a deck of cards,330,81,Easy,27573,81051,0.34
https://leetcode.com/problems/partition-array-into-disjoint-intervals,Partition array into disjoint intervals,262,20,Medium,15542,35018,0.44
https://leetcode.com/problems/word-subsets,Word subsets,248,57,Medium,15514,33336,0.47
https://leetcode.com/problems/reverse-only-letters,Reverse only letters,371,30,Easy,42455,74778,0.57
https://leetcode.com/problems/maximum-sum-circular-subarray,Maximum sum circular subarray,467,24,Medium,15761,46722,0.34
https://leetcode.com/problems/complete-binary-tree-inserter,Complete binary tree inserter,205,44,Medium,12642,22548,0.56
https://leetcode.com/problems/number-of-music-playlists,Number of music playlists,280,34,Hard,7672,17031,0.45
https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Minimum add to make parentheses valid,448,34,Medium,44356,62129,0.71
https://leetcode.com/problems/sort-array-by-parity-ii,Sort array by parity ii,431,40,Easy,70834,104690,0.68
https://leetcode.com/problems/3sum-with-multiplicity,3sum with multiplicity,265,50,Medium,15434,43945,0.35
https://leetcode.com/problems/minimize-malware-spread,Minimize malware spread,208,172,Hard,18049,43635,0.41
https://leetcode.com/problems/long-pressed-name,Long pressed name,381,50,Easy,28002,62917,0.45
https://leetcode.com/problems/flip-string-to-monotone-increasing,Flip string to monotone increasing,426,13,Medium,16897,33016,0.51
https://leetcode.com/problems/three-equal-parts,Three equal parts,138,43,Hard,5658,17525,0.32
https://leetcode.com/problems/minimize-malware-spread-ii,Minimize malware spread ii,134,35,Hard,7133,17929,0.4
https://leetcode.com/problems/unique-email-addresses,Unique email addresses,648,165,Easy,166605,245496,0.68
https://leetcode.com/problems/binary-subarrays-with-sum,Binary subarrays with sum,323,18,Medium,14584,36030,0.4
https://leetcode.com/problems/minimum-falling-path-sum,Minimum falling path sum,418,41,Medium,30955,51303,0.6
https://leetcode.com/problems/beautiful-array,Beautiful array,256,355,Medium,8693,15489,0.56
https://leetcode.com/problems/number-of-recent-calls,Number of recent calls,198,1093,Easy,34802,49756,0.7
https://leetcode.com/problems/shortest-bridge,Shortest bridge,461,39,Medium,17330,37556,0.46
https://leetcode.com/problems/knight-dialer,Knight dialer,370,139,Medium,22959,53394,0.43
https://leetcode.com/problems/stamping-the-sequence,Stamping the sequence,120,33,Hard,4375,11866,0.37
https://leetcode.com/problems/reorder-data-in-log-files,Reorder data in log files,382,1205,Easy,73674,137297,0.54
https://leetcode.com/problems/range-sum-of-bst,Range sum of bst,712,145,Easy,136194,172769,0.79
https://leetcode.com/problems/minimum-area-rectangle,Minimum area rectangle,445,86,Medium,33392,64285,0.52
https://leetcode.com/problems/distinct-subsequences-ii,Distinct subsequences ii,265,12,Hard,8224,20026,0.41
https://leetcode.com/problems/valid-mountain-array,Valid mountain array,250,56,Easy,33380,94367,0.35
